Date,Open,High,Low,Close,Volume,Adj Close,Change
2014-01-31,1790.88,1793.88,1772.26,1782.59,4059690000,1782.59,-0.006465313
2014-01-30,1777.17,1798.77,1777.17,1794.19,3547510000,1794.19,0.01126705
2014-01-29,1790.15,1790.15,1770.45,1774.2,3964020000,1774.2,-0.010209205
2014-01-28,1783,1793.87,1779.49,1792.5,3437830000,1792.5,0.006140686
2014-01-27,1791.03,1795.98,1772.88,1781.56,4045200000,1781.56,-0.004876305
2014-01-24,1826.96,1826.96,1790.29,1790.29,4618450000,1790.29,-0.020875491
2014-01-23,1842.29,1842.29,1820.06,1828.46,3972250000,1828.46,-0.008889563
2014-01-22,1844.71,1846.87,1840.88,1844.86,3374170000,1844.86,0.0005749
2014-01-21,1841.05,1849.31,1832.38,1843.8,3782470000,1843.8,0.002773699
2014-01-17,1844.23,1846.04,1835.23,1838.7,3626120000,1838.7,-0.00389514
2014-01-16,1847.99,1847.99,1840.3,1845.89,3491310000,1845.89,-0.001347126
2014-01-15,1840.52,1850.84,1840.52,1848.38,3777800000,1848.38,0.005166188
2014-01-14,1821.36,1839.26,1821.36,1838.88,3353270000,1838.88,0.010817942
2014-01-13,1841.26,1843.45,1815.52,1819.2,3591350000,1819.2,-0.012576193
2014-01-10,1840.06,1843.15,1832.43,1842.37,3335710000,1842.37,0.002306692
2014-01-09,1839,1843.23,1830.38,1838.13,3581150000,1838.13,0.000348301
2014-01-08,1837.9,1840.02,1831.4,1837.49,3652140000,1837.49,-0.000212201
2014-01-07,1828.71,1840.1,1828.71,1837.88,3511750000,1837.88,0.006081773
2014-01-06,1832.31,1837.16,1823.73,1826.77,3294850000,1826.77,-0.002511781
2014-01-03,1833.21,1838.24,1829.13,1831.37,2774270000,1831.37,-0.000332973
2014-01-02,1845.86,1845.86,1827.74,1831.98,3080600000,1831.98,-0.00886191
2013-12-31,1842.61,1849.44,1842.41,1848.36,2312840000,1848.36,0.003959654
2013-12-30,1841.47,1842.47,1838.77,1841.07,2293860000,1841.07,-0.000179211
2013-12-27,1842.97,1844.89,1839.81,1841.4,2052920000,1841.4,-0.000336587
2013-12-26,1834.96,1842.84,1834.96,1842.02,1982270000,1842.02,0.004745489
2013-12-24,1828.02,1833.32,1828.02,1833.32,1307630000,1833.32,0.002915771
2013-12-23,1822.92,1829.75,1822.92,1827.99,2851540000,1827.99,0.005318096
2013-12-20,1810.39,1823.75,1810.25,1818.32,5097700000,1818.32,0.004818744
2013-12-19,1809,1810.88,1801.35,1809.6,3497210000,1809.6,-0.000579902
2013-12-18,1781.46,1811.08,1767.99,1810.65,4327770000,1810.65,0.016647951
2013-12-17,1786.47,1786.77,1777.05,1781,3270030000,1781,-0.003100966
2013-12-16,1777.48,1792.22,1777.48,1786.54,3209890000,1786.54,0.006319987
2013-12-13,1777.98,1780.92,1772.45,1775.32,3061070000,1775.32,-0.00010138
2013-12-12,1781.71,1782.99,1772.28,1775.5,3306640000,1775.5,-0.003770578
2013-12-11,1802.76,1802.97,1780.09,1782.22,3472240000,1782.22,-0.011316861
2013-12-10,1807.6,1808.52,1801.75,1802.62,3117150000,1802.62,-0.003179659
2013-12-09,1806.21,1811.52,1806.21,1808.37,3129500000,1808.37,0.001817084
2013-12-06,1788.36,1806.04,1788.36,1805.09,3150030000,1805.09,0.011237906
2013-12-05,1792.82,1792.82,1783.38,1785.03,3336880000,1785.03,-0.004339556
2013-12-04,1793.15,1799.8,1779.09,1792.81,3610540000,1792.81,-0.001303512
2013-12-03,1800.1,1800.1,1787.85,1795.15,3475680000,1795.15,-0.003192848
2013-12-02,1806.55,1810.02,1798.6,1800.9,3095430000,1800.9,-0.002719001
2013-11-29,1808.69,1813.55,1803.98,1805.81,1598300000,1805.81,-0.000785733
2013-11-27,1803.48,1808.27,1802.77,1807.23,2613590000,1807.23,0.002485092
2013-11-26,1802.87,1808.42,1800.77,1802.75,3427120000,1802.75,0.000149794
2013-11-25,1806.33,1808.1,1800.58,1802.48,2998540000,1802.48,-0.001263326
2013-11-22,1797.21,1804.84,1794.7,1804.76,3055140000,1804.76,0.004961439
2013-11-21,1783.52,1797.16,1783.52,1795.85,3256630000,1795.85,0.008128575
2013-11-20,1789.59,1795.73,1777.23,1781.37,3109140000,1781.37,-0.003635611
2013-11-19,1790.79,1795.51,1784.72,1787.87,3224450000,1787.87,-0.002042947
2013-11-18,1798.82,1802.33,1788,1791.53,3168520000,1791.53,-0.003698184
2013-11-15,1790.66,1798.22,1790.66,1798.18,3254820000,1798.18,0.004222001
2013-11-14,1782.75,1791.53,1780.22,1790.62,3139060000,1790.62,0.004837262
2013-11-13,1764.37,1782,1760.64,1782,3327480000,1782,0.008095311
2013-11-12,1769.51,1771.78,1762.29,1767.69,3221030000,1767.69,-0.00237035
2013-11-11,1769.96,1773.44,1767.85,1771.89,2534060000,1771.89,0.000722915
2013-11-08,1748.37,1770.78,1747.63,1770.61,3837170000,1770.61,0.013427582
2013-11-07,1770.74,1774.54,1746.2,1747.15,4143200000,1747.15,-0.013182791
2013-11-06,1765,1773.74,1764.4,1770.49,3322100000,1770.49,0.004265529
